livefans_artist_id,eplus_artist_id
6206,55513
5601,50632
441,1901
7312,64468
82481,63196
4979,46712
5786,24443
38421,54669
4716,1252
43902,67488
,96611
5934,40359
58020,70266
5935,70287
6418,58316
,54911
81648,89817
44195,67893
82711,90721
11770,26144
75326,71340
52559,60619
20570,60597
28096,62807
3632,5053
1997,4421
6434,52608
36996,63937
4860,27142
27488,59046
11671,55297
,4508
3493,29593
106,4849
79936,71513
51,32729
44972,68185
28270,61218
53,2007
108,2450
2413,2556
18730,35070
10232,49418
,90150
12260,60114
,2789
17919,34361
2944,2888
49881,922
61672,75041
5024,51853
13230,58226
2011,2877
54860,59456
2861,4777
8634,37701
1394,89138
3125,20992
37279,4162
7507,31794
7566,58437
2969,19696
3098,6487
6968,48072
44753,5364
68964,69255
23967,68405
36344,60266
1900,4771
41713,65928
36104,59829
3283,23066
7151,42050
19755,57178
61452,4100
5248,28124
35178,59836
5962,54558
8274,51907
8397,45034
257,493
28238,61447
26579,6869
37675,38798
4317,4733
18122,56228
1706,3504
2047,10478
3640,3716
2023,40303
932,3505
8548,57500
855,7039
,61151
1705,34356
4026,37097
,89174
7933,52276
6608,46835
,71687
57377,69572
10377,55436
29212,67871
78178,93848
60154,68383
24445,35103
62441,38405
10403,49094
4861,32435
619,28022
44595,65561
7739,34955
4551,2282
27679,64138
2897,2114
6256,38197
69420,84390
6770,41558
62300,72089
48351,75388
24950,57282
1796,494
107,5548
4058,24703
65008,73312
35888,68177
20629,44770
1531,6488
8941,53072
24263,59616
765,2254
20623,2288
53740,69721
3486,2261
7382,2049
,75769
10104,14192
7509,53588
40759,2464
3404,15753
2117,923
320,6870
20836,58507
883,1427
7485,33997
882,33807
883,1427
25058,61503
28610,62916
27538,59676
38339,64792
33303,64810
33080,60033
22602,62944
7681,36138
7984,46976
19647,59032
42286,71580
14666,55298
62684,56389
79228,66286
1054,503
34638,73728
5213,49950
521,4481
14077,54077
69497,73379
,59575
32460,63146
133,1997
2449,31262
86896,72152
15499,66565
475,1253
8197,5294
44418,24343
294,498
,83966
55182,69207
3398,33107
,59537
16797,58961
8912,51351
285,489
,60651
77694,80509
587,6722
61031,73897
10300,33098
286,2116
8416,83290
20020,17553
1649,504
13759,58962
9654,23287
3333,5602
54648,62524
520,6877
76976,90818
3151,37872
69433,75369
,22178
64199,59214
29983,45774
3722,36026
67646,20984
52035,62112
48513,70368
3941,19776
2436,2629
7156,37425
6993,43366
949,10648
35051,68417
621,2546
5134,33850
,83671
2073,2682
31439,64802
39200,64502
56359,3508
12007,54100
1581,5526
2490,5920
4794,38599
82395,97554
14122,55216
28237,63966
14448,33215
24357,60382
60046,69533
8045,15391
74341,73203
43494,59344
4051,37715
37559,72353
3934,23286
45366,47249
1876,5609
61034,68296
,86227
171,1910
48483,66446
15825,53815
5277,43902
14527,549
,63702
4055,550
37028,63905
2801,2705
8423,54944
35226,65944
15618,59974
12201,40974
1661,5901
54497,4962
5860,24714
69523,82516
7559,54682
23869,58428
3361,36638
15659,60138
1656,38827
3331,6660
4219,1962
19392,59097
3492,13010
12364,31451
21297,53754
32087,61217
12139,3171
6239,34518
1003,2069
292,2734
4952,37825
12973,55936
,6496
289,36179
24264,51910
1559,6661
30436,63047
45949,70133
33169,30462
568,1977
2143,2262
32476,70909
62610,75264
8973,54789
10854,45639
48602,49355
1999,1955
69799,81076
1812,1421
2002,1915
27750,46577
9349,44429
2958,39211
176,20927
7903,4475
12134,47418
4792,24312
7790,46740
74057,82847
74622,75181
24,9226
55481,68274
62194,70084
12203,2068
6938,38917
1816,915
,82065
31048,560
,81792
1005,571
4948,40055
61969,72312
,60921
31956,59324
2089,581
70909,57489
10199,46680
4788,5946
23156,66333
6197,56620
1666,3208
18581,61822
17639,57258
,86574
20316,61909
4365,1415
9973,52717
,54169
49397,68667
5883,34161
20778,60694
,69375
9877,5903
962,928
20109,69174
2956,4885
6404,59017
44617,67574
10292,7042
44529,81866
4925,34139
,59323
143,902
18012,61962
1584,1909
8109,54492
,36429
3678,38168
1208,34736
80128,88242
4369,40792
49469,68036
11274,52714
86,6724
5008,17526
8478,35710
632,4631
6255,38617
2952,14648
13184,55201
4122,5935
21272,59056
14112,58224
13548,57578
71506,80928
4944,3803
7643,33873
1720,18389
19386,47408
13939,18968
18195,55506
3256,16418
1817,1569
122,554
1721,883
28600,65912
10276,51093
479,1440
1547,882
951,4408
13043,57237
70148,59750
4168,16093
,80412
25605,58851
3741,2580
,2213
43763,66244
33524,68989
9838,7043
21718,84498
,45694
7625,54088
,80713
7997,51420
4118,47293
58727,70567
166,1325
1870,5581
2817,557
7808,42825
13231,53645
19843,55302
,58596
3425,31510
33992,61257
,67039
480,586
25245,60034
2062,10581
78147,85748
12699,42584
908,564
1719,1912
7767,53751
,73482
16388,2661
15271,57316
4809,42434
844,4117
45373,1964
38148,69464
56713,66998
3426,6282
12052,55863
14751,49093
3571,2548
737,5529
309,16335
8110,51952
60692,73733
4846,5948
602,20027
1577,2896
118,623
884,3095
44849,60322
17213,51579
331,40801
1540,4964
52223,68354
2457,32630
37604,65149
,17786
19521,57664
10174,60483
21595,61896
12509,20488
5320,58950
28414,70282
,74817
1821,2764
4727,23129
78041,86533
2943,4951
4993,38496
293,35096
52187,67659
12549,48721
2154,17488
53843,68273
3155,34630
29558,60739
4563,2137
13447,52601
3091,14574
922,78552
764,19809
17344,53504
4468,3215
1662,2103
8051,65140
763,32349
1793,15113
32352,64189
3311,2082
71028,19972
7516,46103
5218,43006
69354,58223
,3885
965,8646
26771,60944
23415,57583
1818,3888
19501,54192
3100,19114
583,6668
7457,61579
3147,27307
921,618
35245,655
13760,11152
32008,66152
76492,72983
5132,35181
,59524
41978,67610
54498,89447
19785,61677
6599,39696
,68253
20591,60123
26982,72150
11041,39751
69062,57658
68286,95995
1022,4776
30062,66729
8183,6284
32029,54053
3119,30004
3174,1989
7832,63545
3407,38382
1585,1996
18180,2425
27543,66357
74134,82750
62261,68737
31236,77946
10173,35109
1773,611
17978,56224
2014,81450
6690,33398
,60882
448,23074
79090,84354
23133,61140
3046,4169
5294,45358
2032,632
6144,6914
59617,68406
26,3022
15647,55063
44938,90896
1591,17707
15957,57102
2059,2074
64456,73886
56988,58502
3129,37700
2058,612
14639,31350
1844,37901
17874,57925
45506,68467
11111,74098
83853,38184
4713,35146
3564,31611
26064,80745
9837,71058
4705,5902
14482,62805
65245,71458
32614,63518
2715,624
10370,30656
22397,607
10138,53480
21671,65919
79221,87307
6322,44957
12829,608
65762,72317
10322,48179
13216,51692
59641,64582
4609,74073
54039,70507
2751,2650
10215,25274
585,1273
1728,6677
25380,59794
